,FirstName,LastName,College,Position,Age,Height,Weight,OverallRating,TraitDevelopment,ContractStatus,Motivation3,Motivation2,Motivation1,OriginalHitPowerRating,OriginalJumpingRating,AgilityRating,AccelerationRating,OriginalKickAccuracyRating,OriginalKickPowerRating,BreakSackRating,BlockSheddingRating,BCVisionRating,AwarenessRating,CatchInTrafficRating,CatchingRating,CarryingRating,BreakTackleRating,DeepRouteRunningRating,ConfidenceRating,ChangeOfDirectionRating,ImpactBlockingRating,HitPowerRating,Height,FinesseMovesRating,JukeMoveRating,InjuryRating,KickReturnRating,KickPowerRating,KickAccuracyRating,JumpingRating,MediumRouteRunningRating,ManCoverageRating,LongSnapRating,LeadBlockRating,PressRating,PowerMovesRating,RunBlockPowerRating,RunBlockFinesseRating,ReleaseRating,PursuitRating,SpeedRating,SpectacularCatchRating,ShortRouteRunningRating,RunBlockRating,StrengthRating,StiffArmRating,StaminaRating,SpinMoveRating,ThrowAccuracyRating,ThrowAccuracyMidRating,ThrowAccuracyDeepRating,TackleRating,ThrowUnderPressureRating,ThrowPowerRating,ThrowOnTheRunRating,ThrowAccuracyShortRating,ZoneCoverageRating,TruckingRating,ToughnessRating,PlayActionRating,PassBlockFinesseRating,PassBlockPowerRating,PassBlockRating,Player,IsVisible,ProDayThreeConeDrill,ProDayTwentyYardShuttle,ProDayVerticalJump,CombineTwentyYardShuttle,CombineVerticalJump,ProDayFortyYardDash,CombineFortyYardDash,CombineOverallGrade,CombineThreeConeDrill,ProDayBroadJump,InitialDraftRank,TrueOverallRanking,CombineBenchPress,ProDayBenchPress,ProductionGrade,CombineBroadJump
335,Jaylen,Gilmore,Penn State,DT,21,75,308,72,Normal,Draft,BigMarket,HeadCoachHistoricRecord,NoIncomeTax,78,83,70,81,38,26,29,69,38,71,33,38,51,38,31,42,67,80,78,75,69,45,93,25,26,38,83,32,40,0,35,26,80,30,29,38,78,79,41,36,39,87,46,74,38,35,19,30,76,37,24,15,16,24,32,78,31,31,34,25,2380,TRUE,0,0,0,0,0,0,0,0,0,0,56,72,0,0,87,0
156,Jason,Butler,Arkansas,FS,22,69,200,72,XFactor,Draft,SchemeFit,WarmWeatherState,HighestOffer,81,90,86,87,35,35,34,50,76,68,48,65,65,47,27,58,83,62,81,69,27,58,88,53,35,35,90,40,60,0,41,70,38,30,41,47,81,91,39,30,35,70,50,87,67,10,21,13,67,48,11,25,32,75,37,80,31,28,24,45,1109,TRUE,0,0,0,0,0,0,0,0,0,0,57,71,0,0,80,0
432,Davante,Branch,Florida,RG,22,78,338,73,Star,Draft,TeamHasFranchiseQB,NoIncomeTax,MentoratPosition,43,58,68,77,45,44,44,39,27,67,24,30,52,43,45,48,54,86,43,78,25,46,94,43,44,45,58,47,31,0,85,42,43,80,67,47,36,65,40,48,73,93,26,80,35,33,24,26,34,47,22,26,26,33,31,81,40,70,72,74,3186,TRUE,0,0,0,0,0,0,0,0,0,0,58,48,0,0,94,0
168,Tory,Griffen,Penn State,ROLB,22,74,243,75,Superstar,Draft,HeadCoachHistoricRecord,WarmWeatherState,NoIncomeTax,78,84,78,91,24,42,26,74,39,73,46,61,59,26,39,55,77,81,78,74,59,28,93,29,42,24,84,24,52,0,42,32,58,30,34,49,84,87,24,45,40,75,26,98,36,17,24,18,85,46,21,33,26,59,34,80,46,38,26,43,1203,TRUE,0,0,0,0,0,0,0,0,0,0,59,9,0,0,83,0
22,Kentrell,Johnson,Notre Dame,HB,21,70,203,72,Star,Draft,MentoratPosition,TeamPrestige,WarmWeatherState,40,82,89,91,35,46,38,31,76,71,68,73,74,77,60,54,92,32,40,70,27,87,92,88,46,35,82,60,33,0,43,25,39,41,36,68,41,90,70,75,28,75,71,79,77,36,25,12,38,24,36,28,10,27,78,81,44,26,42,65,188,TRUE,0,0,0,0,0,0,0,0,0,0,60,69,0,0,82,0
391,Sean,Bennett,Ohio State,WR,23,69,178,74,Normal,Draft,TeamHasFranchiseQB,BigMarket,ChampionshipContender,39,85,90,91,29,36,24,36,76,65,79,82,79,69,77,47,96,35,39,69,42,82,97,90,36,29,85,72,27,0,43,48,41,35,36,75,36,98,86,75,57,59,64,78,81,10,14,25,46,47,22,11,15,26,49,82,41,29,32,26,2875,TRUE,0,0,0,0,0,0,0,0,0,0,61,21,0,0,92,0
306,Dion,Walls,Ohio State,SS,23,69,217,74,Normal,Draft,HighestOffer,ChampionshipContender,TeamPrestige,79,84,86,88,27,45,47,53,68,72,46,72,64,32,45,46,83,65,79,69,47,64,92,69,45,27,84,32,72,0,34,76,40,25,39,46,77,92,47,40,43,66,62,97,72,19,20,37,72,43,34,30,33,72,38,81,30,37,25,36,2242,TRUE,0,0,0,0,0,0,0,0,0,0,62,25,0,0,88,0
443,Khalid,Tolbert,LSU,HB,23,71,206,73,Normal,Draft,WarmWeatherState,BigMarket,SchemeFit,34,86,86,94,27,46,36,44,82,69,54,61,80,74,42,42,90,35,34,71,43,82,83,85,46,27,86,60,36,0,37,24,39,24,35,66,38,92,58,58,45,67,70,79,76,14,16,11,40,46,22,30,14,30,80,79,31,31,44,57,3204,TRUE,0,0,0,0,0,0,0,0,0,0,63,44,0,0,90,0
47,Joshua,Spiegel,Florida State,LG,22,77,345,73,Star,Draft,SchemeFit,MentoratPosition,ChampionshipContender,26,67,66,77,47,40,27,45,41,69,47,44,55,31,24,54,56,91,26,77,48,25,91,47,40,47,67,31,29,0,81,31,33,81,64,46,25,63,30,39,75,90,47,87,29,29,34,11,25,31,29,26,14,32,47,85,28,64,73,72,359,TRUE,0,0,0,0,0,0,0,0,0,0,64,43,0,0,90,0
215,Mike,Callahan,Ole Miss,LT,22,78,311,74,Normal,Draft,SchemeFit,TeamPrestige,HeadCoachHistoricRecord,28,73,74,76,35,38,45,30,42,77,33,37,56,28,45,44,58,77,28,78,41,28,90,30,38,35,73,36,29,0,73,35,44,68,66,39,47,67,27,37,72,83,36,90,37,11,16,21,37,43,34,35,30,27,45,84,24,81,80,81,1472,TRUE,0,0,0,0,0,0,0,0,0,0,65,27,0,0,83,0
30,Kenny,Murray,Florida State,ROLB,22,72,243,73,Star,Draft,SchemeFit,NoIncomeTax,TeamPrestige,81,81,77,88,24,37,24,71,42,70,36,61,58,25,37,59,70,75,81,72,57,33,84,34,37,24,81,33,54,0,26,31,60,28,29,48,84,84,35,38,44,78,48,93,24,14,30,34,82,29,33,35,28,59,32,84,48,24,36,38,230,TRUE,0,0,0,0,0,0,0,0,0,0,66,42,0,0,89,0
275,Monte,Smith,Colorado State,CB,21,76,201,74,Star,Draft,TeamHasFranchiseQB,HeadCoachHistoricRecord,BigMarket,68,89,92,94,35,28,46,52,72,71,46,60,67,44,40,55,90,60,68,76,30,79,91,76,28,35,89,27,72,0,36,76,25,25,26,46,75,92,42,27,40,58,37,95,80,22,25,27,62,41,19,22,14,67,46,78,42,41,28,36,1961,TRUE,0,0,0,0,0,0,0,0,0,0,67,28,0,0,84,0
257,Marcus,Sheldon,Michigan,HB,22,68,190,74,Star,Draft,TeamHasFranchiseQB,SchemeFit,HighestOffer,43,83,91,95,46,40,42,36,75,71,67,75,77,76,64,52,92,30,43,68,43,85,88,80,40,46,83,60,43,0,38,26,41,28,28,67,39,90,76,71,27,69,78,86,79,17,16,23,29,44,34,10,10,41,73,80,24,36,31,59,1821,TRUE,0,0,0,0,0,0,0,0,0,0,68,30,0,0,93,0
108,Jeff,Wilhite,Texas,SS,21,70,203,74,Normal,Draft,TeamPrestige,NoIncomeTax,BigMarket,84,88,90,91,32,24,27,57,76,70,25,67,61,48,45,54,86,58,84,70,41,71,81,60,24,32,88,28,62,0,43,63,38,29,36,39,77,90,26,37,45,68,46,83,74,12,21,32,67,40,29,29,19,77,35,86,29,36,43,36,827,TRUE,0,0,0,0,0,0,0,0,0,0,69,31,0,0,82,0
86,Jameel,Cotton,Florida,LE,21,78,299,71,Normal,Draft,TeamHasFranchiseQB,ChampionshipContender,CloseToHome,78,70,73,82,42,30,26,74,38,67,39,28,59,31,26,55,64,86,78,78,61,37,92,24,30,42,70,26,26,0,29,37,66,48,44,49,82,78,40,40,38,88,34,88,36,27,32,29,83,30,36,27,37,28,24,79,25,45,46,34,653,TRUE,0,0,0,0,0,0,0,0,0,0,70,90,0,0,82,0
431,Justin,Roach,Washington,LOLB,22,74,250,66,Normal,Draft,HeadCoachHistoricRecord,WarmWeatherState,ChampionshipContender,80,73,72,88,40,45,35,68,32,70,36,46,56,42,38,59,65,77,80,74,62,27,96,26,45,40,73,32,39,0,34,37,78,26,35,45,73,80,33,38,40,76,32,80,46,27,28,23,68,35,11,27,24,41,27,81,39,37,46,37,3184,TRUE,0,0,0,0,0,0,0,0,0,0,71,186,0,0,9,0
144,Rashaud,Bryant,UTSA,FS,21,73,218,68,Normal,Draft,HeadCoachHistoricRecord,HighestOffer,BigMarket,78,79,86,90,26,30,43,67,48,65,35,68,52,29,25,56,78,62,78,73,27,59,98,53,30,26,79,38,60,0,42,61,25,44,25,48,79,88,37,39,46,75,37,86,58,23,28,35,73,41,23,23,21,66,53,85,28,37,24,41,1034,TRUE,0,0,0,0,0,0,0,0,0,0,72,129,0,0,47,0
256,Larry,Leonard,Northwestern,FS,21,75,205,65,Normal,Draft,HighestOffer,CloseToHome,TeamPrestige,82,77,80,89,41,24,35,64,48,60,46,65,44,26,39,44,80,60,82,75,43,48,91,47,24,41,77,45,64,0,26,59,33,29,36,42,78,87,46,46,47,65,48,80,55,19,19,18,66,35,14,19,22,66,49,82,43,43,32,44,1820,TRUE,0,0,0,0,0,0,0,0,0,0,73,233,0,0,44,0
390,Shane,Elam,Vanderbilt,TE,23,77,237,65,Normal,Draft,NoIncomeTax,SchemeFit,HeadCoachHistoricRecord,47,83,85,85,29,27,37,34,75,65,70,77,62,61,63,54,67,54,47,77,35,62,98,30,27,29,83,61,29,0,50,29,32,58,51,64,35,81,74,63,65,72,56,98,65,32,33,14,45,48,28,33,11,37,62,82,36,65,46,54,2869,TRUE,0,0,0,0,0,0,0,0,0,0,74,224,0,0,17,0
396,Timmy,Beason,LSU,SS,23,74,208,66,Normal,Draft,MentoratPosition,HeadCoachHistoricRecord,CloseToHome,79,76,86,85,48,28,37,67,50,65,43,59,56,28,34,55,82,58,79,74,24,59,94,53,28,48,76,33,62,0,35,68,47,30,37,43,75,89,36,36,27,68,45,86,55,25,26,26,67,33,36,36,19,64,55,79,43,42,43,29,2909,TRUE,0,0,0,0,0,0,0,0,0,0,75,173,0,0,48,0
36,Taj,Gilmore,Nebraska,MLB,22,74,226,65,Normal,Draft,NoIncomeTax,ChampionshipContender,SchemeFit,83,76,79,88,25,43,28,63,26,68,29,58,51,40,36,41,68,75,83,74,53,48,87,24,43,25,76,27,56,0,33,30,56,32,30,48,80,85,25,37,41,69,48,85,25,36,31,17,81,46,35,20,16,63,33,79,47,33,48,45,290,TRUE,0,0,0,0,0,0,0,0,0,0,76,220,0,0,21,0
277,Marquise,Moody,Oregon,DT,21,75,344,72,Normal,Draft,WarmWeatherState,HeadCoachHistoricRecord,TeamHasFranchiseQB,74,58,64,75,40,30,29,73,33,73,41,29,54,31,45,40,52,84,74,75,65,36,78,47,30,40,58,25,44,0,36,29,66,41,39,45,77,58,38,39,44,96,31,81,36,37,18,16,76,33,30,19,18,32,38,78,37,30,31,47,1969,TRUE,0,0,0,0,0,0,0,0,0,0,77,66,0,0,88,0
261,Jared,Nugent,UCLA,MLB,23,74,230,66,Normal,Draft,WarmWeatherState,CloseToHome,TeamHasFranchiseQB,80,77,80,87,36,26,44,62,26,74,29,57,59,24,34,45,75,68,80,74,58,31,80,32,26,36,77,26,57,0,25,48,59,24,46,50,79,89,47,28,30,77,27,82,33,11,21,34,77,26,27,14,20,59,38,78,46,30,48,31,1854,TRUE,0,0,0,0,0,0,0,0,0,0,78,174,0,0,12,0
224,Hugh,Lane,Oregon State,CB,21,71,195,70,Normal,Draft,CloseToHome,WarmWeatherState,SchemeFit,73,83,94,94,27,36,34,58,71,71,34,62,76,34,42,59,97,52,73,71,28,67,93,83,36,27,83,41,62,0,39,59,48,40,48,39,80,91,24,31,35,60,30,96,66,34,33,10,57,48,27,25,29,64,41,80,37,42,31,32,1560,TRUE,0,0,0,0,0,0,0,0,0,0,79,93,0,0,88,0
78,Devin,Porter,Minnesota,CB,22,71,187,68,Star,Draft,HighestOffer,ChampionshipContender,HeadCoachHistoricRecord,56,87,87,93,35,32,45,49,58,65,41,58,57,43,28,58,89,43,56,71,35,67,80,84,32,35,87,31,65,0,45,73,28,27,38,46,65,89,45,45,33,53,46,98,69,24,10,13,60,36,28,34,33,65,26,82,35,32,28,48,586,TRUE,0,0,0,0,0,0,0,0,0,0,80,130,0,0,22,0
199,Jason,Delpit,Georgia,MLB,23,72,237,65,Normal,Draft,TeamHasFranchiseQB,TeamPrestige,NoIncomeTax,74,71,83,88,44,35,36,62,32,73,30,57,52,29,41,58,70,73,74,72,57,37,94,37,35,44,71,28,56,0,37,40,59,46,48,49,81,87,35,29,41,75,29,93,34,17,34,30,75,32,31,14,27,59,40,79,25,45,44,34,1377,TRUE,0,0,0,0,0,0,0,0,0,0,81,207,0,0,10,0
317,Isaiah,Wheeler,Michigan State,WR,22,72,214,71,Normal,Draft,BigMarket,WarmWeatherState,MentoratPosition,30,82,90,93,35,47,29,41,76,67,71,74,71,78,71,49,90,46,30,72,30,79,83,42,47,35,82,75,44,0,46,48,42,26,48,69,30,91,81,70,43,56,55,96,79,28,12,21,42,25,17,29,20,33,55,80,33,28,43,30,2303,TRUE,0,0,0,0,0,0,0,0,0,0,82,91,0,0,12,0
177,Justin,Sermons,Florida,DT,22,75,333,75,Normal,Draft,WarmWeatherState,TeamHasFranchiseQB,BigMarket,78,60,60,71,36,41,46,75,46,67,41,38,57,46,31,57,49,86,78,75,63,30,82,42,41,36,60,30,30,0,39,27,64,24,26,47,78,60,31,43,27,97,43,74,34,24,32,28,82,47,19,33,20,29,25,79,46,42,24,48,1238,TRUE,0,0,0,0,0,0,0,0,0,0,83,12,0,0,88,0
408,Antwaun,Pleasant,West Virginia,LOLB,23,75,258,66,Star,Draft,CloseToHome,ChampionshipContender,TeamPrestige,75,73,72,90,28,42,33,71,31,69,44,43,57,45,24,56,67,74,75,75,66,37,84,41,42,28,73,27,40,0,43,37,72,48,47,41,75,78,48,28,48,75,30,95,39,22,23,30,77,31,12,11,29,42,36,83,31,40,38,42,3013,TRUE,0,0,0,0,0,0,0,0,0,0,84,182,0,0,29,0
174,Brian,Pippen,Arkansas,LT,22,79,317,66,Normal,Draft,WarmWeatherState,TeamPrestige,TeamHasFranchiseQB,34,60,60,75,37,47,42,31,33,70,30,45,52,46,44,59,45,74,34,79,33,32,83,31,47,37,60,26,34,0,71,38,34,62,67,50,35,66,24,25,66,79,38,93,42,31,37,13,28,48,26,12,34,34,37,80,32,75,76,75,1227,TRUE,0,0,0,0,0,0,0,0,0,0,85,183,0,0,9,0
60,Johnny,Nance,Rutgers,LOLB,22,74,221,62,Star,Draft,NoIncomeTax,BigMarket,HighestOffer,73,78,80,90,35,48,40,65,45,67,45,54,57,48,47,40,76,64,73,74,55,27,90,45,48,35,78,29,57,0,47,32,45,43,39,43,76,86,25,29,32,64,43,87,44,25,28,12,71,39,11,29,28,62,38,80,41,26,45,30,488,TRUE,0,0,0,0,0,0,0,0,0,0,86,309,0,0,15,0
8,Tony,Hartwell,USF,HB,22,72,198,67,Normal,Draft,ChampionshipContender,NoIncomeTax,TeamPrestige,24,82,86,90,32,43,45,31,73,61,55,64,81,76,42,54,85,37,24,72,24,82,84,87,43,32,82,56,33,0,39,34,41,25,36,54,27,92,53,57,47,65,67,89,75,19,28,36,40,25,32,15,16,33,65,83,44,27,47,44,66,TRUE,0,0,0,0,0,0,0,0,0,0,87,139,0,0,7,0
189,Earl,Adams,San Diego State,LG,23,77,323,73,Star,Draft,TeamPrestige,CloseToHome,NoIncomeTax,35,75,70,81,35,44,41,41,30,68,25,34,58,46,27,56,53,86,35,77,27,40,86,39,44,35,75,45,43,0,89,42,48,66,74,45,35,65,25,29,72,89,36,92,37,28,22,11,48,46,12,27,15,39,37,81,27,77,69,76,1333,TRUE,0,0,0,0,0,0,0,0,0,0,88,45,0,0,89,0
159,Mike,Boykin,Michigan State,ROLB,21,74,221,71,Superstar,Draft,TeamPrestige,ChampionshipContender,TeamHasFranchiseQB,73,85,90,90,31,40,34,62,40,77,46,58,58,33,36,46,81,75,73,74,58,29,96,31,40,31,85,31,62,0,47,36,50,27,24,48,77,83,32,29,31,75,34,82,32,27,36,22,77,39,21,24,19,69,45,79,31,35,27,26,1114,TRUE,0,0,0,0,0,0,0,0,0,0,89,86,0,0,56,0
309,Terrence,Thompson,Colorado,CB,22,71,202,66,Normal,Draft,HighestOffer,SchemeFit,HeadCoachHistoricRecord,56,83,85,91,31,41,41,48,59,59,32,56,57,36,45,58,91,54,56,71,30,76,81,81,41,31,83,40,64,0,44,68,34,42,46,44,66,91,43,48,31,55,44,86,74,12,19,32,62,33,17,27,14,66,38,86,40,48,47,33,2257,TRUE,0,0,0,0,0,0,0,0,0,0,90,172,0,0,2,0
121,Eli,Boon,Washington,MLB,22,75,236,65,Normal,Draft,MentoratPosition,TeamPrestige,ChampionshipContender,78,72,82,88,27,24,38,67,42,72,40,62,59,46,33,58,72,68,78,75,60,30,80,26,24,27,72,30,59,0,38,43,54,47,25,50,80,87,27,40,39,74,41,86,33,10,10,12,73,28,11,36,14,57,39,82,30,30,44,29,880,TRUE,0,0,0,0,0,0,0,0,0,0,91,234,0,0,8,0
389,Henry,Ross,Wisconsin,LOLB,22,74,220,71,Normal,Draft,ChampionshipContender,MentoratPosition,HeadCoachHistoricRecord,76,86,88,90,46,40,41,66,24,76,45,50,52,30,39,53,78,71,76,74,56,41,92,36,40,46,86,39,64,0,44,25,55,41,31,39,76,89,28,36,38,70,37,85,41,23,37,37,76,35,14,30,26,69,46,83,45,33,36,37,2867,TRUE,0,0,0,0,0,0,0,0,0,0,92,85,0,0,46,0
191,Evan,Hampton,Colorado,HB,21,70,220,76,Star,Draft,TeamPrestige,HeadCoachHistoricRecord,HighestOffer,25,86,87,93,41,34,25,37,80,72,56,58,92,84,38,50,81,46,25,70,25,80,81,68,34,41,86,43,33,0,33,37,46,28,33,45,45,90,57,51,25,81,78,97,76,23,12,35,48,43,11,35,18,29,86,82,44,43,25,60,1336,TRUE,0,0,0,0,0,0,0,0,0,0,93,5,0,0,83,0
145,Brendan,Northrop,Penn State,HB,23,70,195,67,Normal,Draft,TeamPrestige,ChampionshipContender,NoIncomeTax,45,83,85,92,36,41,41,34,73,63,48,72,88,75,38,49,83,48,45,70,34,80,88,92,41,36,83,51,27,0,46,29,31,27,27,52,37,88,48,50,44,64,63,89,74,14,25,19,48,26,23,10,37,28,72,85,33,48,45,46,1036,TRUE,0,0,0,0,0,0,0,0,0,0,94,143,0,0,11,0
1,Casey,Fulton,Missouri,CB,21,70,199,67,Star,Draft,HighestOffer,SchemeFit,WarmWeatherState,66,79,91,94,36,39,37,56,79,59,72,67,62,27,72,53,92,49,66,70,39,67,89,96,39,36,79,74,66,0,41,63,45,39,25,42,70,94,68,73,48,57,27,92,74,27,36,15,57,31,30,27,28,66,39,84,37,24,36,37,20,TRUE,0,0,0,0,0,0,0,0,0,0,95,145,0,0,9,0
337,Charlie,Shaw,Florida,TE,22,75,251,71,Normal,Draft,HeadCoachHistoricRecord,WarmWeatherState,TeamPrestige,26,74,82,84,24,37,26,31,67,74,81,80,76,69,61,48,81,58,26,75,46,65,87,29,37,24,74,63,24,0,59,35,27,52,54,65,48,85,74,70,61,70,68,85,64,23,30,11,33,27,16,31,12,30,71,83,32,58,60,63,2404,TRUE,0,0,0,0,0,0,0,0,0,0,96,84,0,0,87,0
125,Carey,Payton,Virginia Tech,ROLB,24,75,258,64,Normal,Draft,TeamHasFranchiseQB,BigMarket,ChampionshipContender,70,69,75,89,34,30,42,72,26,67,37,48,56,28,35,51,66,78,70,75,66,42,81,34,30,34,69,24,41,0,26,37,75,48,42,39,72,78,28,40,26,78,45,97,43,23,23,23,68,39,21,17,35,48,35,78,44,31,42,30,905,TRUE,0,0,0,0,0,0,0,0,0,0,97,262,0,0,19,0
410,Adonis,Sutton,North Carolina,TE,21,78,254,76,XFactor,Draft,ChampionshipContender,HeadCoachHistoricRecord,TeamHasFranchiseQB,42,79,86,85,29,43,37,40,74,74,81,84,76,66,59,41,81,65,42,78,30,69,86,40,43,29,79,67,40,0,64,27,46,60,59,77,37,82,82,73,55,75,82,81,63,17,37,21,55,29,35,23,33,35,76,81,25,53,56,61,3029,TRUE,0,0,0,0,0,0,0,0,0,0,98,4,0,0,88,0
312,Dontae,Ware,Oklahoma,DT,21,74,296,72,Star,Draft,MentoratPosition,HeadCoachHistoricRecord,BigMarket,74,82,71,81,30,32,45,72,37,74,26,29,57,37,38,46,67,73,74,74,75,37,90,31,32,30,82,33,34,0,48,33,62,48,36,43,82,79,47,42,30,86,27,77,41,10,25,37,76,28,28,21,13,41,24,86,41,41,39,32,2265,TRUE,0,0,0,0,0,0,0,0,0,0,99,67,0,0,92,0
2,Connor,Lippett,USF,CB,22,69,186,69,Normal,Draft,MentoratPosition,ChampionshipContender,SchemeFit,52,80,84,93,36,27,25,50,61,61,26,63,63,43,25,54,85,51,52,69,39,72,95,80,27,36,80,39,71,0,31,72,43,30,47,50,65,90,26,34,31,52,28,84,72,33,34,18,62,48,12,32,34,61,36,83,47,48,33,47,22,TRUE,0,0,0,0,0,0,0,0,0,0,100,110,0,0,23,0
20,Sheldon,Truman,Oregon,HB,23,68,203,66,Star,Draft,HighestOffer,TeamPrestige,NoIncomeTax,32,73,86,89,43,25,29,43,78,61,53,61,87,71,50,47,83,43,32,68,34,79,90,93,25,43,73,50,43,0,42,27,37,26,37,59,36,89,54,56,30,69,65,87,73,37,14,19,46,42,35,10,29,41,75,79,25,29,25,50,146,TRUE,0,0,0,0,0,0,0,0,0,0,101,197,0,0,27,0
40,Morgan,Meeks,Florida,LG,21,75,330,73,Normal,Draft,CloseToHome,BigMarket,TeamPrestige,48,82,70,84,37,29,35,45,27,68,29,30,55,37,28,59,56,87,48,75,38,26,95,36,29,37,82,28,34,0,82,36,34,66,78,47,41,66,33,44,72,90,45,96,30,17,18,34,42,46,35,28,19,39,33,83,41,75,68,75,316,TRUE,0,0,0,0,0,0,0,0,0,0,102,46,0,0,81,0
210,Dion,Weathersby,LSU,CB,21,75,207,69,Normal,Draft,NoIncomeTax,HighestOffer,BigMarket,67,92,93,90,26,32,29,56,61,61,26,65,59,28,35,44,87,44,67,75,27,68,93,85,32,26,92,30,67,0,34,70,46,48,48,40,77,92,37,34,36,68,35,87,65,17,15,17,59,31,17,17,28,66,41,78,41,28,33,24,1443,TRUE,0,0,0,0,0,0,0,0,0,0,103,107,0,0,86,0
363,James,Lauderdale,USF,WR,22,74,214,69,Normal,Draft,SchemeFit,MentoratPosition,TeamPrestige,35,96,83,87,42,42,30,39,80,67,74,68,77,68,64,53,84,59,35,74,37,81,85,69,42,42,96,71,46,0,35,38,30,46,30,72,44,91,99,73,51,69,73,80,77,20,29,35,45,29,19,15,17,41,60,78,32,35,42,25,2652,TRUE,0,0,0,0,0,0,0,0,0,0,104,106,0,0,90,0
300,George,Jaramillo,LSU,RG,22,74,310,72,Star,Draft,SchemeFit,TeamHasFranchiseQB,HighestOffer,45,71,66,78,39,31,38,34,46,73,26,42,52,42,38,52,58,77,45,74,31,48,81,46,31,39,71,40,42,0,62,24,25,65,65,43,30,70,32,44,65,85,25,82,48,17,13,14,36,27,15,12,36,29,35,80,37,79,77,80,2163,TRUE,0,0,0,0,0,0,0,0,0,0,105,68,0,0,80,0
359,Hal,Doyle,UCF,TE,22,77,252,73,Star,Draft,HeadCoachHistoricRecord,WarmWeatherState,SchemeFit,31,79,81,88,32,48,42,36,66,72,78,78,74,73,57,59,77,68,31,77,38,59,79,37,48,32,79,66,35,0,58,31,40,49,65,62,40,86,76,74,64,70,67,79,63,27,21,14,38,35,34,37,24,30,75,83,34,58,62,61,2608,TRUE,0,0,0,0,0,0,0,0,0,0,106,47,0,0,86,0
94,Max,Rivers,William & Mary,FS,21,71,223,67,Normal,Draft,CloseToHome,HeadCoachHistoricRecord,ChampionshipContender,81,81,85,91,44,26,46,65,58,63,42,58,57,38,37,44,83,64,81,71,27,54,88,46,26,44,81,30,65,0,32,57,38,45,25,44,75,85,26,41,31,65,48,92,54,23,19,22,70,30,11,10,33,67,48,85,39,35,26,35,725,TRUE,0,0,0,0,0,0,0,0,0,0,107,146,0,0,33,0
409,Zhaire,Joyner,LA Tech,SS,21,73,220,66,Normal,Draft,BigMarket,WarmWeatherState,TeamPrestige,82,72,78,88,33,44,33,59,62,63,29,63,56,25,37,45,85,57,82,73,28,55,91,53,44,33,72,29,65,0,45,64,37,42,42,49,76,89,47,24,38,69,61,87,60,28,13,25,63,33,15,21,17,70,59,79,25,48,42,39,3027,TRUE,0,0,0,0,0,0,0,0,0,0,108,194,0,0,35,0
103,Jamarian,McGriff,Baylor,WR,22,72,197,71,Normal,Draft,CloseToHome,SchemeFit,NoIncomeTax,40,80,92,91,40,29,48,42,81,61,70,77,62,75,69,47,88,48,40,72,38,82,78,29,29,40,80,75,25,0,43,29,39,36,45,67,48,90,78,69,54,67,37,92,79,13,23,34,25,42,10,29,20,34,60,86,48,46,42,27,800,TRUE,0,0,0,0,0,0,0,0,0,0,109,81,0,0,24,0
299,Trey,Claxton,Alabama,CB,23,70,205,67,Normal,Draft,HeadCoachHistoricRecord,TeamPrestige,MentoratPosition,59,88,84,92,29,35,48,60,66,60,31,68,64,36,43,55,84,40,59,70,25,65,87,89,35,29,88,43,68,0,38,63,45,33,30,39,70,92,25,40,38,58,27,82,69,30,35,22,62,27,27,16,26,62,35,79,31,44,32,42,2146,TRUE,0,0,0,0,0,0,0,0,0,0,110,148,0,0,28,0
379,George,Caldwell,Butler,ROLB,23,78,260,67,Normal,Draft,SchemeFit,BigMarket,TeamHasFranchiseQB,80,77,75,90,36,31,28,73,45,67,35,32,58,35,30,55,60,77,80,78,64,35,82,28,31,36,77,33,34,0,45,41,75,43,26,45,74,80,38,34,40,73,31,87,33,29,34,33,77,32,28,32,27,46,40,78,48,36,41,31,2753,TRUE,0,0,0,0,0,0,0,0,0,0,111,149,0,0,2,0
32,Reggie,Jett,Toledo,LOLB,23,76,256,63,Normal,Draft,NoIncomeTax,MentoratPosition,TeamPrestige,70,78,80,83,42,45,32,70,30,62,30,24,58,34,43,58,66,68,70,76,68,42,82,38,45,42,78,32,34,0,39,38,61,44,47,49,72,83,29,30,35,76,48,95,43,27,18,10,73,34,22,17,26,46,44,78,37,29,39,38,267,TRUE,0,0,0,0,0,0,0,0,0,0,112,285,0,0,19,0
393,Desmond,Childs,Baylor,RE,22,76,269,67,Normal,Draft,SchemeFit,ChampionshipContender,TeamHasFranchiseQB,75,83,77,81,32,43,33,62,39,63,33,45,53,48,32,57,69,71,75,76,74,30,84,38,43,32,83,39,49,0,36,32,60,47,24,42,72,82,34,34,42,82,27,89,29,22,36,14,76,34,22,31,26,42,41,83,36,42,29,26,2883,TRUE,0,0,0,0,0,0,0,0,0,0,113,152,0,0,24,0
62,Alexander,Brown,Yale,WR,23,75,215,70,Normal,Draft,BigMarket,HighestOffer,NoIncomeTax,39,92,86,89,37,28,29,34,73,61,79,79,67,72,72,43,81,55,39,75,25,77,83,61,28,37,92,68,31,0,38,42,28,39,45,81,47,89,87,69,52,64,72,88,73,10,26,36,29,46,38,18,34,41,60,79,36,29,35,43,499,TRUE,0,0,0,0,0,0,0,0,0,0,114,92,0,0,1,0
